Brand Name,Product URL,Image,Product Ratings,Number of ratings,Product Info,Selling Price,Price,Discount
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-teal-blue--beige-ethnic-motifs-printed-straight-kurti/15636004/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15636004/2022/2/22/7bac7c5c-8d0f-4ac8-b201-0131b1bf57cd1645512975672AnubhuteeWomenTealBlueBeigeEthnicMotifsPrintedStraightKurti1.jpg",4.3,477,Women Ethnic Motifs Printed Straight Kurti,591,1739,(66% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-black--gold-toned-ethnic-motifs-printed-kurti/17413170/buy,,4.4,480,Ethnic Motifs Printed Kurti,521,1739,(70% OFF)
antaran,https://www.myntra.com/kurtis/antaran/antaran-beige-floral-printed-pure-cotton-kurti/16777048/buy,,3.7,167,Floral Printed Pure Cotton Kurti,742,1649,(55% OFF)
DIVYANK,https://www.myntra.com/kurtis/divyank/divyank-blue--grey-printed-kurti/16876198/buy,,4.3,538,Printed Kurti,559,1999,(72% OFF)
GERUA,https://www.myntra.com/kurtis/gerua/gerua-mustard-yellow--red-empire-a-line-pure-cotton-kurti/6540132/buy,,4.1,2300,Printed Empire A-Line Cotton Kurti,329,1099,(70% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-burgundy--pink-ethnic-motifs-printed-empire-kurti/14885748/buy,,4.2,402,Ethnic Motifs Empire Kurti,604,1099,(45% OFF)
Libas,https://www.myntra.com/kurtis/libas/libas-red--ethnic-motifs-printed-pleated-kurti/16857666/buy,,4.3,153,Ethnic Motifs Printed Kurti,599,1499,(60% OFF)
Pistaa,https://www.myntra.com/kurtis/pistaa/pistaa-navy-blue-geometric-printed-kurti/18435998/buy,,4.1,271,Geometric Printed Kurti,649,1799,(Rs. 1150 OFF)
GERUA,https://www.myntra.com/kurtis/gerua/gerua-women-green--golden-ethnic-motifs-printed-pleated-kurti/18122568/buy,,4.6,98,Ethnic Motifs Printed Kurti,449,1499,(70% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-blue-floral-printed-kurti/18509328/buy,,3.9,62,Floral Printed Kurti,855,2250,(62% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-green--orange-ethnic-printed-sequinned-pure-cotton-kurti/17606372/buy,,4.5,135,Ethnic Printed Cotton Kurti,877,1595,(45% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-mauve--white-ethnic-motifs-printed-mirror-work-mirror-work-kurti/16332186/buy,,4.2,456,Ethnic Motifs Printed Kurti,591,1739,(66% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-blue--white-striped-pure-cotton-round-neck-a-line-kurti/16190886/buy,,4.3,244,Striped Pure Cotton Kurti,639,1599,(60% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-women-blue--orange-ethnic-motifs-printed-kurti/18226102/buy,,4.3,35,Ethnic Motifs Printed Kurti,519,1299,(60% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-orange--white-ethnic-printed-sequinned-pure-cotton-kurti/17606370/buy,,4.4,80,Ethnic Printed Cotton Kurti,822,1495,(45% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-turquoise-blue-floral-printed-pure-cotton-round-neck-kurti/16190888/buy,,4,97,Floral Printed Pure Cotton Kurti,524,1499,(65% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-peach-coloured-floral-printed-cambric-pleated-kurti/17156576/buy,,4.4,55,Printed Cambric Pleated Kurti,687,1349,(49% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-black--golden-printed-straight-kurti/11535124/buy,,4.3,1500,Women Printed Straight Kurti,521,1739,(70% OFF)
PANIT,https://www.myntra.com/kurtis/panit/panit-women-red-printed-pure-cotton-anarkali-pure-cotton-kurti/9841405/buy,,4.1,1200,Pure Cotton Anarkali Kurti,719,1799,(60% OFF)
GERUA,https://www.myntra.com/kurtis/gerua/gerua-red-floral-printed-pleated-anarkali-kurti/19072998/buy,,4.4,55,Floral Printed Anarkali Kurti,389,1299,(70% OFF)
Tissu,https://www.myntra.com/kurtis/tissu/tissu-women-pink--white-printed-a-line-kurti/11759894/buy,,4.2,1200,Women Printed A-line Kurti,548,899,(39% OFF)
FABRIC FITOOR,https://www.myntra.com/kurtis/fabric-fitoor/fabric-fitoor-off-white-striped-pure-cotton-panelled-kurti/20653828/buy,,,0,Striped Pure Cotton Kurti,831,2599,(68% OFF)
Aarika,https://www.myntra.com/kurtis/aarika/aarika-burgundy-floral-printed-pure-cotton-kurti/17253066/buy,,4.1,88,Floral Printed Pure Cotton Kurti,999,2629,(62% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-olive-green-pure-cotton-kurti/18068436/buy,,4.5,42,Pure Cotton Kurti,683,1799,(62% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-pink-geometric-printed-kurti/18036758/buy,,4.2,92,Geometric Printed Kurti,559,1599,(65% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-charcoal-grey--red-printed-straight-kurti/10513934/buy,,4.1,931,Women Printed Straight Kurti,591,1739,(66% OFF)
SWAGG INDIA,https://www.myntra.com/kurtis/swagg-india/swagg-india-white-ethnic-motifs-embroidered-chikankari-kurti/15635870/buy,,4.3,340,Ethnic Motifs Embroidered Kurti,699,1749,(60% OFF)
TANKHI,https://www.myntra.com/kurtis/tankhi/tankhi-black--brown-floral-printed-gotta-patti-gotta-patti-kaftan-kurti/20382926/buy,,3.7,7,Floral Printed Kaftan Kurti,809,1799,(55% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-grey-floral-embroidered--striped-thread-work-festive-pleated-straight-kurti/19800534/buy,,4.4,5,Floral Embroidered Kurti,559,1599,(65% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-olive-green-floral-printed-pure-cotton-kurti/19081018/buy,,4.5,11,Floral Printed Pure Cotton Kurti,897,1795,(50% OFF)
Tissu,https://www.myntra.com/kurtis/tissu/tissu-women-navy-blue--white-printed-straight-kurti/13705914/buy,,4.3,628,Women Printed Straight Kurti,579,999,(42% OFF)
Cottinfab,https://www.myntra.com/kurtis/cottinfab/cottinfab-navy-blue-v-neck-pure-cotton-a-line-kurti/15162630/buy,,4.1,233,Pure Cotton A-Line Kurti,659,1649,(60% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-navy-blue--off-white-printed-pure-cotton-a-line-kurti/10699134/buy,,4.4,251,Women Printed Pure Cotton Pure Cotton A-Line Kurti,797,1595,(50% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-blue-pure-cotton-bandhani-printed-v-neck-flared-sleeves-kaftan-kurti/16897458/buy,,4.1,150,Cotton Bandhani Kaftan Kurti,539,1799,(70% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-pink--white-striped-pure-cotton-kurti/15886802/buy,,4,256,Striped Pure Cotton Kurti,599,1299,(Rs. 700 OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-white--red-ethnic-motifs-print-flared-sleeves-pure-cotton-kurti/15887042/buy,,4.2,400,Ethnic Motifs Printed Pure Cotton Kurti,439,1099,(60% OFF)
SWAGG INDIA,https://www.myntra.com/kurtis/swagg-india/swagg-india-blue-ethnic-motifs-embroidered-chikankari-kurti/15635874/buy,,4.3,310,Ethnic Motifs Embroidered Kurti,699,1749,(60% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-pink--white-floral-printed-straight-kurti/15635994/buy,,4.2,220,Women Floral Printed Straight Kurti,521,1739,(70% OFF)
Tissu,https://www.myntra.com/kurtis/tissu/tissu-women-navy-blue--pink-floral-print-a-line-kurti/12124942/buy,,4.4,1000,Women Floral Print A-Line Kurti,549,999,(45% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-black-printed-kurti/6613294/buy,,3.9,772,Printed Kurti,399,999,(60% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-black-printed-kurti/6613294/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6613294/2018/7/26/0d18d82b-5904-4fe2-b9ef-72621bcb013c1532606231203-Anouk-Black-Printed-Kurti-3201532606230005-1.jpg",3.9,772,Printed Kurti,399,999,(60% OFF)
GERUA,https://www.myntra.com/kurtis/gerua/gerua-navy-blue--gold-toned-ethnic-motifs-printed-kurti/17627794/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17627794/2022/4/5/0517afb3-b2b5-4bd6-ac3f-b003bcada10f1649156033639-GERUA-Women-Kurtis-8231649156033224-1.jpg",4.4,41,Ethnic Motifs Printed Kurti,374,1499,(75% OFF)
Indietoga,https://www.myntra.com/kurtis/indietoga/indietoga-women-sea-green-solid-kurti/12886974/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/11/4/9a8e54af-2def-4887-8e36-0523c72c2b0a1604431220062-1.jpg",4.3,424,Solid Kurti,720,2483,(71% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-peach-coloured--red-ethnic-printed-sequinned-pure-cotton-kurti/17606362/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17606362/2022/4/4/5f4b53fd-5570-4ec1-886c-8970cde98e4f1649073197293-Rain--Rainbow-Women-Kurtis-691649073196777-1.jpg",3.9,35,Ethnic Printed Cotton Kurti,877,1595,(45% OFF)
TANKHI,https://www.myntra.com/kurtis/tankhi/tankhi-women-blue--red-printed-kaftan-kurti/18484788/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18484788/2022/5/29/5625861f-c48a-4b71-9e65-6e717a5afa4b1653826873200TANKHIWomenBlueCheckedFlaredSleevesAnarkaliKurta1.jpg",4.4,58,Women Kaftan Kurti,899,1999,(55% OFF)
Meeranshi,https://www.myntra.com/kurtis/meeranshi/women-black--golden-yoke-design-a-line-kurti/12834502/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12834502/2020/11/26/e50bd870-573d-4f6f-9ebc-938bda01edc31606382198225WomenBlackMultiColourPrintedKurti1.jpg",4,723,Yoke Design A-Line Kurti,649,2499,(74% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-navy-blue--white-ethnic-motifs-printed-pure-cotton-kurti/16276456/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16276456/2022/5/27/1f8835e5-2a21-4a85-a137-742c5f3038591653633684555-Sztori-Women-Kurtis-9271653633684072-1.jpg",4.8,39,Plus Size Printed Cotton Kurti,479,1599,(70% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-navy-blue-ethnic-motifs-printed-kurti/17413246/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17413246/2022/3/17/6825a2d1-0bc2-4bd1-948b-00f19dcad90b1647509611306-Anubhutee-Women-Kurtis-571647509610228-1.jpg",4.2,105,Ethnic Motifs Printed Kurti,521,1739,(70% OFF)
Tissu,https://www.myntra.com/kurtis/tissu/tissu-women-grey--pink-floral-printed-straight-kurti/13705898/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/18/7b5407c6-a21a-4f50-97e2-ca69852707dc1613628907088-1.jpg",4.2,1100,Women Floral Printed Straight Kurti,579,999,(42% OFF)
MissKurti,https://www.myntra.com/kurtis/misskurti/misskurti-black-ethnic-motifs-yoke-design-thread-work-thread-work-kurti/18736014/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18736014/2022/7/20/09e94821-25fd-45a6-b52d-11d3b3bb0aa21658298382564-Womens-Straight-Black-Embroidered-Kurti-671658298382078-1.jpg",4.6,9,Ethnic Motifs Yoke Design Kurti,659,2199,(70% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-peach-coloured--red-striped-pure-cotton-kurti/17096586/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17096586/2022/3/14/20aaeb4e-1717-4726-971e-f4cc9b75a36d1647259441457-Anouk-Women-Dresses-2701647259440965-6.jpg",4.3,96,Striped Pure Cotton Kurti,524,1499,(65% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-women-navy-blue--maroon-printed-kurti/6613296/buy,,3.6,1100,Printed Kurti,359,899,(60% OFF)
Biba,https://www.myntra.com/kurtis/biba/biba-mustard-yellow--black-ethnic-motifs-printed-kurti/17550512/buy,,4.9,8,Ethnic Motifs Printed Kurti,899,1799,(50% OFF)
Aarika,https://www.myntra.com/kurtis/aarika/aarika-green-floral-printed-pure-cotton-kurti/17253108/buy,,4.1,93,Floral Printed Pure Cotton Kurti,999,2629,(62% OFF)
all about you,https://www.myntra.com/kurtis/all-about-you/all-about-you-women-red--black-printed-kurti/14381546/buy,,4,84,Women Printed Kurti,934,1699,(45% OFF)
Indo Era,https://www.myntra.com/kurtis/indo-era/indo-era-green-floral-embroidered-kurti/16950284/buy,,,0,Floral Embroidered Kurti,1499,4999,(70% OFF)
YASH GALLERY,https://www.myntra.com/kurtis/yash-gallery/yash-gallery-women-green--off-white-printed-a-line-kurti/13994588/buy,,4.5,223,Printed A-Line Kurti,629,1399,(55% OFF)
Nayo,https://www.myntra.com/kurtis/nayo/nayo-maroon--white-ethnic-motifs-printed-pure-cotton-kurti/20741652/buy,,,0,Ethnic Motifs Printed Pure Cotton Kurti,599,1199,(50% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-blue--white-printed-pure-cotton-straight-kurti/11357114/buy,,4.1,158,Printed Pure Cotton Pure Cotton Straight Kurti,672,1495,(55% OFF)
Libas,https://www.myntra.com/kurtis/libas/libas-beautiful-grey-chanderi-silk-floral-motifs-kurti/16872742/buy,,4.1,17,Chanderi Silk Kurti,374,1499,(75% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-navy-blue--gold-ethnic-motifs-foil-printed-kurti/15636018/buy,,4.2,187,Ethnic Motifs Printed Kurti,591,1739,(66% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-women-classic-white-pure-cotton-print-parade-kurti/19110384/buy,,,0,Classic White Pure Cotton Print Parade Kurti,799,1999,(60% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-women-green-striped-kurti/15886970/buy,,4.2,169,Women Striped Kurti,439,1099,(60% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-white--blue-ethnic-motifs-print-pure-cotton-kurti/15886788/buy,,4.2,271,Ethnic Motifs Cotton Kurti,399,999,(60% OFF)
Fashion FRICKS,https://www.myntra.com/kurtis/fashion-fricks/fashion-fricks-black-ethnic-motifs-embroidered-flared-sleeves-kurti/20872414/buy,,,0,Ethnic Motifs Embroidered Kurti,735,1599,(54% OFF)
Ritu Kumar,https://www.myntra.com/kurtis/ritu-kumar/ritu-kumar-women-pink-floral-printed-pleated-layered-kurti/17001830/buy,,,0,Women Printed Layered Kurti,3600,4500,(20% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-black--rust-ethnic-motifs-embroidered-chikankari-kurti/15797558/buy,,4.3,12,Ethnic Motifs Embroidered Kurti,,,
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-sea-green--white-ethnic-motifs-printed-sequinned-pure-cotton-kurti/17606366/buy,,3.9,58,Ethnic Printed Cotton Kurti,822,1495,(45% OFF)
SWAGG INDIA,https://www.myntra.com/kurtis/swagg-india/swagg-india-pink-ethnic-motifs-embroidered-chikankari-kurti/15635872/buy,,4.3,274,Ethnic Motifs Embroidered Kurti,699,1749,(60% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-black-ethnic-motifs-printed-kurti/17612178/buy,,4.4,23,Ethnic Motifs Printed Kurti,948,2370,(60% OFF)
Sangria,https://www.myntra.com/kurtis/sangria/sangria-yellow--orange-ethnic-motifs-embroidered-thread-work-thread-work-kurti/20397352/buy,,4.8,6,Ethnic Motifs Embroidered Kurti,512,1249,(59% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-pink-printed-sequinned-pure-cotton-kurti/19581532/buy,,4.6,12,Printed Sequinned Cotton Kurti,877,1595,(45% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241038/buy,,4.8,27,Ethnic Motifs Embroidered Handloom Kurti,,,
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-peach-coloured--orange-floral-printed-kurti/18036634/buy,,4.1,23,Floral Printed Kurti,511,1599,(68% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-women-orange-ethnic-motifs-printed-kurti/15887202/buy,,4.1,158,Ethnic Motifs Printed Kurti,439,1099,(60% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-pink--white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241018/buy,,4.3,10,Ethnic Motifs Embroidered Handloom Kurti,,,
Anouk,https://www.myntra.com/kurtis/anouk/anouk-women-grey--yellow-floral-printed-v-neck-kurti/16234874/buy,,3.6,26,Women Floral Printed Kurti,299,1499,(80% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-black--purple-ethnic-motifs-embroidered-chikankari-handloom-kurti/15797560/buy,,4.5,11,Ethnic Motifs Embroidered Handloom Kurti,,,
Tissu,https://www.myntra.com/kurtis/tissu/tissu-women-beige--red-floral-printed-straight-kurti/11759904/buy,,4.3,1100,Women Floral Printed Straight Kurti,548,899,(39% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-turquoise-blue--pink-floral-printed-pure-cotton-kurti/19729268/buy,,4.3,7,Floral Printed Pure Cotton Kurti,598,1495,(60% OFF)
TORONFRAS,https://www.myntra.com/kurtis/toronfras/toronfras-green-geometric-embroidered-pleated-kurti/20084416/buy,,4,23,Geometric Embroidered Kurti,637,2199,(71% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-mustard-yellow-ethnic-motifs-printed-boat-neck-kurti/18971176/buy,,4.3,6,Plus Size Ethnic Printed Kurti,494,899,(45% OFF)
Pistaa,https://www.myntra.com/kurtis/pistaa/pistaa-navy-blue-geometric-printed-kurti/18437214/buy,,4.4,73,Geometric Printed Kurti,699,1899,(Rs. 1200 OFF)
Pistaa,https://www.myntra.com/kurtis/pistaa/pistaa-off-white-embroidered-kurti/18435990/buy,,4.2,72,Embroidered Kurti,650,1799,(Rs. 1149 OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-rose-floral-printed-sequinned-pure-cotton-sequinned-kurti/19081020/buy,,4.4,18,Floral Printed Pure Cotton Kurti,762,1695,(55% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-beige--black-striped-kurti/18960890/buy,,4.3,32,Striped Kurti,424,1699,(75% OFF)
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-white--golden-ethnic-motifs-woven-design-kurti/19336594/buy,,,0,Ethnic Motifs Woven Design Kurti,1749,2499,(30% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-orange--golden-printed-straight-kurti/10613248/buy,,4.2,433,Printed Straight Kurti,591,1739,(66% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-maroon--white-ethnic-motifs-printed-a-line-kurti/16924956/buy,,4.6,18,Plus Size Printed A-Line Kurti,674,1499,(55% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-cream-coloured--red-floral-printed-pure-cotton-kurti/20934276/buy,,,0,Floral Printed Pure Cotton Kurti,877,1595,(45% OFF)
all about you,https://www.myntra.com/kurtis/all-about-you/all-about-you-women-blue--red-ethnic-motifs-striped-pure-cotton-kurti/17894460/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17894460/2022/10/6/6d9ea35a-1977-47a2-8f9a-93a42b20bd591665058414573-all-about-you-Women-Kurtis-8181665058414080-1.jpg",4.1,11,Women Ethnic Motifs Kurti,539,1199,(55% OFF)
PANIT,https://www.myntra.com/kurtis/panit/panit-women-multicoloured-printed-pure-cotton-anarkali-pure-cotton-kurti/9841447/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/5/29/10371b79-bf7d-48c6-a92d-1ee87f363c411559105118891-1.jpg",4.2,489,Pure Cotton Anarkali Kurti,719,1799,(60% OFF)
AKIMIA,https://www.myntra.com/kurtis/akimia/akimia-sea-green--white-ethnic-motifs-embroidered-chikankari-pure-cotton-kurti/17316830/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17316830/2022/2/27/0202c51d-289f-413a-8116-0a85376dd2921645900354294Kurtis1.jpg",4.5,165,Embroidered Pure Cotton Kurti,767,1599,(52% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-black--white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241056/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17241056/2022/3/4/5489e7e2-08ce-47bc-b51b-e015b85c53681646389906697-Black-Georgette-Hand-Embroidered-Chikankari-Kurti-5271646389-1.jpg",4.9,14,Ethnic Motifs Embroidered Handloom Kurti,,,
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-yellow--white-bandhani-printed-kurti/15636010/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15636010/2021/9/27/03257e04-09f3-4c0e-8480-7ee521ed870f1632725388284Kurtis1.jpg",4.1,164,Bandhani Printed Kurti,591,1739,(66% OFF)
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-blue-floral-printed-v-neck-pure-cotton-kurti/20925176/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20925176/2022/11/26/d20b3b95-a421-4d7a-9ceb-e961e339222e1669443804277FabindiaBlueCottonPrintedKurti1.jpg",,0,Floral Printed Pure Cotton Kurti,,,
